1 minute,2 minutes,3 minute
0.00080,0.00080,0.00090
0.00080,0.00080,0.00090
0.00080,0.00080,0.00089
0.00080,0.00080,0.00080
0.00080,0.00080,0.00080
0.00080,0.00080,0.00080
0.00080,0.00080,0.00080
0.00080,0.00080,0.00080
0.00080,0.00080,0.00080
0.00080,0.00080,0.00080
0.00080,0.00080,0.00080
0.00080,0.00080,0.00080
0.00080,0.00080,0.00089
0.00080,0.00080,0.00080
0.00080,0.00080,0.00101
0.00080,0.00080,0.00101
0.00080,0.00080,0.00102
0.00080,0.00080,0.00102
0.00080,0.00080,0.00101
0.00080,0.00080,0.00101
0.00080,0.00080,0.00088
0.00080,0.00080,0.00093
0.00080,0.00080,0.00097
0.00080,0.00080,0.00097
0.00080,0.00080,0.00097
0.00080,0.00080,0.00097
0.00080,0.00080,0.00100
0.00080,0.00080,0.00100
0.00080,0.00080,0.00079
0.00080,0.00080,0.00079
0.00080,0.00080,0.00079
0.00080,0.00080,0.00079
0.00080,0.00080,0.00079
0.00080,0.00080,0.00079
0.00080,0.00080,0.00080
0.00080,0.00080,0.00102
0.00080,0.00080,0.00102
0.00080,0.00080,0.00108
0.00080,0.00080,0.00117
0.00080,0.00080,0.00140
0.00080,0.00080,0.00140
0.00080,0.00080,0.00103
0.00080,0.00080,0.00101
0.00080,0.00080,0.00101
0.00080,0.00090,0.00101
0.00080,0.00091,0.00101
0.00080,0.00090,0.00083
0.00080,0.00090,0.00080
0.00080,0.00090,0.00083
0.00080,0.00089,0.00083
0.00080,0.00088,0.00080
0.00080,0.00080,0.00080
0.00080,0.00080,0.00080
0.00080,0.00080,0.00090
0.00080,0.00080,0.00102
0.00080,0.00080,0.00101
0.00080,0.00080,0.00101
0.00080,0.00080,0.00101
0.00080,0.00080,0.00101
0.00080,0.00080,0.00102
0.00080,0.00080,0.00102
0.00080,0.00080,0.00102
0.00080,0.00080,0.00101
0.00080,0.00080,0.00101
0.00080,0.00083,0.00102
0.00080,0.00089,0.00102
0.00080,0.00092,0.00102
0.00080,0.00101,0.00102
0.00080,0.00101,0.00101
0.00080,0.00101,0.00102
0.00080,0.00102,0.00102
0.00080,0.00102,0.00102
0.00080,0.00102,0.00080
0.00080,0.00102,0.00080
0.00080,0.00101,0.00080
0.00080,0.00101,0.00080
0.00080,0.00088,0.00082
0.00080,0.00088,0.00101
0.00080,0.00088,0.00101
0.00080,0.00093,0.00101
0.00080,0.00093,0.00086
0.00080,0.00097,0.00085
0.00080,0.00097,0.00084
0.00080,0.00097,0.00084
0.00080,0.00097,0.00083
0.00080,0.00100,0.00082
0.00080,0.00100,0.00082
0.00080,0.00100,0.00082
0.00080,0.00100,0.00081
0.00080,0.00079,0.00081
0.00080,0.00079,0.00080
0.00080,0.00079,0.00080
0.00080,0.00079,0.00080
0.00080,0.00079,0.00080
0.00080,0.00079,0.00080
0.00080,0.00079,0.00080
0.00080,0.00079,0.00080
0.00080,0.00080,0.00080
0.00080,0.00080,0.00080
0.00080,0.00090,0.00080

