TxnFee(ETH),TxnFee(USD)
0.035362339,2.9239
0.015874214,4.70921
0.007935422,4.38485
0.016076534,0.70626
0.002040987,0.88942
0.025909567,5.49357
0.034423097,4.24306
0.02981056,0.9975
0.004841091,2.83852
0.005262918,0.5829
0.043963735,3.03111
0.005034075,2.27078
0.045721032,0.82298
0.03012549,3.8478
0.030915607,3.72254
0.045217227,1.26082
0.018411545,0.97955
0.021520241,0.88938
0.04038112,1.90941
0.044949057,1.10002
0.006142433,3.49342
0.028802123,1.04257
0.045413714,4.98383
0.024866854,0.52357
0.046106418,1.87447
0.006548408,5.61363
0.047565826,5.13817
0.013815585,4.96064
0.020264146,5.32437
0.00407377,3.93866
0.048493616,5.15946
0.011300563,3.28014
0.029899569,5.38012
0.038907679,2.50238
0.024527933,2.32328
0.023018627,2.20732
0.017253444,2.10875
0.034296624,3.36567
0.023317392,2.61268
0.005277376,3.74193
0.010197652,2.51659
0.040876555,3.8785
0.045353361,3.54902
0.04572984,2.78423
0.043844452,0.5189
0.029914495,0.97676
0.041701379,5.02416
0.009137765,3.16612
0.018420915,1.33395
0.018264046,5.24854
0.035878797,2.05637
0.04265964,1.72614
0.022859131,5.71359
0.013883722,5.45715
0.019284391,5.25435
0.027331066,4.1054
0.047300896,1.79365
0.023243032,3.18631
0.009264555,5.75144
0.013798646,5.86224
0.023330834,0.70305
0.03226328,4.7755
0.049262265,2.28581
0.038090824,5.38956
0.003588207,3.2239
0.048051342,3.81896
0.04205505,1.40152
0.018888444,3.65969
0.02651347,0.659
0.031308188,2.92999
0.045980009,3.82952
0.047343853,5.03413
0.030549506,5.03891
0.037169398,4.73734
0.012971788,4.03237
0.029639899,2.43757
0.010476693,0.61707
0.013561993,3.88854
0.012540362,4.65566
0.021346467,3.19868
0.033446587,3.9964
0.017495399,4.94975
0.038080698,3.32733
0.007683131,0.74589
0.007285385,2.73492
0.032718771,1.96295
0.049147223,4.46294
0.038689551,5.05682
0.038705773,3.4178
0.006367767,2.78139
0.04183912,4.99679
0.033918556,3.09517
0.010985739,3.00488
0.046629235,1.80993
0.044980068,2.34284
0.035680049,2.96359
0.046346721,2.40179
0.019206739,5.69201
0.028897278,2.65748
0.045468839,3.65463
